,preqin,score,unpri match,Firm Name,preqin_clean
2500,eig global energy partners,1.0,eig global energy partners,EIG Global Energy Partners,eig global energy partners
2501,amundi,1.0,amundi,Amundi,amundi
2502,pictet asset management,1.0,pictet asset management,Pictet Asset Management,pictet asset management
2503,ibs capital,0.8695652173913043,,IBS Capital,ibs capital
2504,coca cola company pension plan,0.7169811320754716,,Coca Cola Company Pension Plan,coca cola company pension plan
2505,icea lion group,0.6896551724137931,,ICEA LION Group,icea lion group
2506,summit private investments,0.7441860465116279,,Summit Private Investments,summit private investments
2507,imara,0.6,,Imara,imara
2508,stichting pensioenfonds sca,0.9259259259259259,,Stichting Pensioenfonds SCA,stichting pensioenfonds sca
2509,matthews international capital management,0.8367346938775511,,Matthews International Capital Management,matthews international capital management
2510,mv credit,0.6,,MV Credit,mv credit
2511,schafer cullen capital management,0.8070175438596491,,Schafer Cullen Capital Management,schafer cullen capital management
2512,ram active investments,0.9361702127659575,ram active investments sa,RAM Active Investments,ram active investments
2513,hrs capital,0.8571428571428571,,HRS Capital,hrs capital
2514,energy & minerals group,0.92,,Energy & Minerals Group,energy & minerals group
2515,smith & williamson investment management,0.9523809523809523,smith & williamson investment management llp,Smith & Williamson Investment Management,smith & williamson investment management
2516,basalt infrastructure partners,1.0,basalt infrastructure partners,Basalt Infrastructure Partners,basalt infrastructure partners
2517,advance asset management,0.8888888888888888,,Advance Asset Management,advance asset management
2518,truestone impact investment management,1.0,truestone impact investment management,Truestone Impact Investment Management,truestone impact investment management
2519,snow capital management,0.8936170212765957,,Snow Capital Management,snow capital management
2520,alphawealth,0.5185185185185185,,AlphaWealth,alphawealth
2521,storm capital management,0.8979591836734694,,Storm Capital Management,storm capital management
2522,storm capital management,0.8979591836734694,,Storm Capital Management,storm capital management
2523,nine masts capital,0.8,,Nine Masts Capital,nine masts capital
2524,silverstreet capital,0.9090909090909091,,SilverStreet Capital,silverstreet capital
2525,sierra club foundation,1.0,sierra club foundation,Sierra Club Foundation,sierra club foundation
2526,seb enskilda,0.5333333333333333,,SEB Enskilda,seb enskilda
2527,generation alfa,0.75,,Generation Alfa,generation alfa
2528,university of manchester endowment,0.6984126984126984,,University of Manchester Endowment,university of manchester endowment
2529,acumen fund,0.6666666666666666,,Acumen Fund,acumen fund
2530,btg pactual - wealth management,0.7540983606557377,,BTG Pactual - Wealth Management,btg pactual - wealth management
2531,trillium asset management,1.0,trillium asset management,Trillium Asset Management,trillium asset management
2532,northedge capital,0.8947368421052632,,NorthEdge Capital,northedge capital
2533,moneda asset management,0.9090909090909091,,Moneda Asset Management,moneda asset management
2534,salvation army central territory,0.6666666666666666,,Salvation Army Central Territory,salvation army central territory
2535,martin currie investment management,1.0,martin currie investment management,Martin Currie Investment Management,martin currie investment management
2536,korea teachers' pension fund,0.7796610169491526,,Korea Teachers' Pension Fund,korea teachers' pension fund
2537,prosperita stiftung für die berufliche vorsorge,0.525,,Prosperita Stiftung für die Berufliche Vorsorge,prosperita stiftung für die berufliche vorsorge
2538,desjardins capital,0.7647058823529411,,Desjardins Capital,desjardins capital
2539,bfam partners,0.8333333333333334,,BFAM Partners,bfam partners
2540,dimensional fund advisors,1.0,dimensional fund advisors,Dimensional Fund Advisors,dimensional fund advisors
2541,butterfield asset management,0.8163265306122449,,Butterfield Asset Management,butterfield asset management
2542,altshuler shaham,0.5142857142857142,,Altshuler Shaham,altshuler shaham
2543,norinnova forvaltning,0.5625,,Norinnova Forvaltning,norinnova forvaltning
2544,international farming corporation,1.0,international farming corporation,International Farming Corporation,international farming corporation
2545,colonial foundation,0.717948717948718,,Colonial Foundation,colonial foundation
2546,wavestone capital,1.0,wavestone capital,WaveStone Capital,wavestone capital
2547,portobello capital,1.0,portobello capital,Portobello Capital,portobello capital
2548,a.s.r. real estate,0.7058823529411765,,a.s.r. real estate,a.s.r. real estate
2549,visio capital management,1.0,visio capital management,Visio Capital Management,visio capital management
2550,trondheim municipality power fund,0.5,,Trondheim Municipality Power Fund,trondheim municipality power fund
2551,trondheim municipality power fund,0.5,,Trondheim Municipality Power Fund,trondheim municipality power fund
2552,trondheim municipality power fund,0.5,,Trondheim Municipality Power Fund,trondheim municipality power fund
2553,maverick capital,0.8,,Maverick Capital,maverick capital
2554,maverick capital,0.8,,Maverick Capital,maverick capital
2555,optimum asset management,0.9230769230769231,,Optimum Asset Management,optimum asset management
2556,presbyterian foundation,0.7368421052631579,,Presbyterian Foundation,presbyterian foundation
2557,westfield capital management,1.0,westfield capital management,Westfield Capital Management,westfield capital management
2558,discovery americas,0.5625,,Discovery Americas,discovery americas
2559,landry investment management,0.8928571428571429,,Landry Investment Management,landry investment management
2560,income partners asset management,0.7796610169491526,,Income Partners Asset Management,income partners asset management
2561,esfin gestion,0.8,,Esfin Gestion,esfin gestion
2562,esfin gestion,0.8,,Esfin Gestion,esfin gestion
2563,principal global investors,1.0,principal global investors,Principal Global Investors,principal global investors
2564,de pury pictet turrettini & cie,1.0,de pury pictet turrettini & cie,De Pury Pictet Turrettini & Cie,de pury pictet turrettini & cie
2565,ascent private capital management,0.7931034482758621,,Ascent Private Capital Management,ascent private capital management
2566,ascent private capital management,0.7931034482758621,,Ascent Private Capital Management,ascent private capital management
2567,city of london investment group,0.9393939393939394,city of london investment group plc,City of London Investment Group,city of london investment group
2568,myriad asset management,0.8695652173913043,,Myriad Asset Management,myriad asset management
2569,slm partners,0.8695652173913043,,SLM Partners,slm partners
2570,previs,0.6153846153846154,,Previs,previs
2571,zurich kantonalbank pension fund,0.6875,,Zurich Kantonalbank Pension Fund,zurich kantonalbank pension fund
2572,itau asset management,0.9523809523809523,itaú asset management,Itau Asset Management,itau asset management
2573,nantucket multi managers,0.6382978723404256,,Nantucket Multi Managers,nantucket multi managers
2574,poalim capital markets,0.7111111111111111,,Poalim Capital Markets,poalim capital markets
2575,energy spectrum capital,0.6842105263157895,,Energy Spectrum Capital,energy spectrum capital
2576,providence capital,0.8780487804878049,,Providence Capital,providence capital
2577,sb ventures,0.72,,SB Ventures,sb ventures
2578,pipv capital,0.8461538461538461,,PIPV Capital,pipv capital
2579,qs investors,0.8,,QS Investors,qs investors
2580,qs investors,0.8,,QS Investors,qs investors
2581,cheyne capital management,0.8979591836734694,,Cheyne Capital Management,cheyne capital management
2582,artemis investment management,1.0,artemis investment management,Artemis Investment Management,artemis investment management
2583,prime capital management,0.8695652173913043,,Prime Capital Management,prime capital management
2584,first state super,0.68,,First State Super,first state super
2585,frontier investment management,1.0,frontier investment management,Frontier Investment Management,frontier investment management
2586,old college capital,0.7878787878787878,,Old College Capital,old college capital
2587,sparinvest,0.8,,Sparinvest,sparinvest
2588,tree line investment management,0.8524590163934426,,Tree Line Investment Management,tree line investment management
2589,sosv,0.75,,SOSV,sosv
2590,dnca finance,1.0,dnca finance,DNCA Finance,dnca finance
2591,gamma partners,0.8,,Gamma Partners,gamma partners
2592,core innovation capital,0.7567567567567568,,Core Innovation Capital,core innovation capital
2593,newion investments,0.9090909090909091,,Newion Investments,newion investments
2594,gavi,0.5,,GAVI,gavi
2595,gavi,0.5,,GAVI,gavi
2596,merian global investors,0.851063829787234,,Merian Global Investors,merian global investors
2597,hyundai marine & fire insurance,0.6493506493506493,,Hyundai Marine & Fire Insurance,hyundai marine & fire insurance
2598,global selection advisors,0.6666666666666666,,Global Selection Advisors,global selection advisors
2599,artivest,0.7368421052631579,,Artivest,artivest
2600,adrigo asset management,1.0,adrigo asset management,Adrigo Asset Management,adrigo asset management
2601,somerset capital management,0.9310344827586207,somerset capital management llp,Somerset Capital Management,somerset capital management
2602,qqm fund management,0.926829268292683,,QQM Fund Management,qqm fund management
2603,sitra,1.0,sitra,Sitra,sitra
2604,markham rae,0.5217391304347826,,Markham Rae,markham rae
2605,markham rae,0.5217391304347826,,Markham Rae,markham rae
2606,pemberton capital advisors,0.76,,Pemberton Capital Advisors,pemberton capital advisors
2607,scout energy partners,0.7346938775510204,,Scout Energy Partners,scout energy partners
2608,odin forvaltning,0.6,,ODIN Forvaltning,odin forvaltning
2609,killik & co,0.5833333333333334,,Killik & Co,killik & co
2610,segantii capital management,0.8461538461538461,,Segantii Capital Management,segantii capital management
2611,star america infrastructure partners,0.935064935064935,"star america infrastructure partners, llc",Star America Infrastructure Partners,star america infrastructure partners
2612,ecotrust forest management,0.7346938775510204,,Ecotrust Forest Management,ecotrust forest management
2613,oak hill advisors,0.7272727272727273,,Oak Hill Advisors,oak hill advisors
2614,eaton vance management,0.7727272727272727,,Eaton Vance Management,eaton vance management
2615,tyndaris,0.5454545454545454,,Tyndaris,tyndaris
2616,jebsen asset management,0.8837209302325582,,Jebsen Asset Management,jebsen asset management
2617,alternative investment management,0.8787878787878788,,Alternative Investment Management,alternative investment management
2618,t&d asset management,0.9,,T&D Asset Management,t&d asset management
2619,dasos capital,0.896551724137931,,Dasos Capital,dasos capital
2620,arcadia funds management,0.8163265306122449,,Arcadia Funds Management,arcadia funds management
2621,arcadia funds management,0.8163265306122449,,Arcadia Funds Management,arcadia funds management
2622,earth capital uk,0.7857142857142857,,Earth Capital UK,earth capital uk
2623,earth capital uk,0.7857142857142857,,Earth Capital UK,earth capital uk
2624,cbre global investors,1.0,cbre global investors,CBRE Global Investors,cbre global investors
2625,barclays,0.5882352941176471,,Barclays,barclays
2626,barclays,0.5882352941176471,,Barclays,barclays
2627,government superannuation fund,0.8571428571428571,,Government Superannuation Fund,government superannuation fund
